,Title in metadata,Bundle name,Pdf file,XML file
42,Automatische Übersetzung als Bestandteil eines philologischen B.A.-Curriculums mit DH-Schwerpunk,163_final-BAILLOT_Anne_Automatische__bersetzung_als_Bestandteil_eines_,163_final-BAILLOT_Anne_Automatische__bersetzung_als_Bestandteil_eines_.pdf,163_final-BAILLOT_Anne_Automatische__bersetzung_als_Bestandteil_eines_.xml
43,Usability-Testing für Softwarewerkzeuge in den Digital Humanities am Beispiel von Bildrepositorien,165_final-DEWITZ_Leyla_Usability_Testing_f_r_Softwarewerkzeuge_in_den_,165_final-DEWITZ_Leyla_Usability_Testing_f_r_Softwarewerkzeuge_in_den_.pdf,165_final-DEWITZ_Leyla_Usability_Testing_f_r_Softwarewerkzeuge_in_den_.xml
44,Ein Editionsportal (nicht nur) für Thüringen,169_final-PRELL_Martin_Ein_Editionsportal__nicht_nur__f_r_Th_ringen,169_final-PRELL_Martin_Ein_Editionsportal__nicht_nur__f_r_Th_ringen.pdf,169_final-PRELL_Martin_Ein_Editionsportal__nicht_nur__f_r_Th_ringen.xml
45,Standardisierte Medien. Ein Paradigmenwechsel in den Geisteswissenschaften,174_final-ALTHOF_Daniel_Standardisierte_Medien__Ein_Paradigmenwechsel_,174_final-ALTHOF_Daniel_Standardisierte_Medien__Ein_Paradigmenwechsel_.pdf,174_final-ALTHOF_Daniel_Standardisierte_Medien__Ein_Paradigmenwechsel_.xml
46,Bauanleitung für einen Forschungsraum mit institutionellem Fundament: Erfahrungen aus fünf Jahren Infrastrukturentwicklung im Forschungsverbund MWW,180_final-DOGUNKE_Swantje_Bauanleitung_f_r_einen_Forschungsraum_mit_in,180_final-DOGUNKE_Swantje_Bauanleitung_f_r_einen_Forschungsraum_mit_in.pdf,180_final-DOGUNKE_Swantje_Bauanleitung_f_r_einen_Forschungsraum_mit_in.xml
47,Makroanalytische Untersuchung von Heftromanen,181_final-KONLE_Leonard_Makroanalytische_Untersuchung_von_Heftromanen,181_final-KONLE_Leonard_Makroanalytische_Untersuchung_von_Heftromanen.pdf,181_final-KONLE_Leonard_Makroanalytische_Untersuchung_von_Heftromanen.xml
48,Ein unscharfer Suchalgorithmus für Transkriptionen von arabischen Ortsnamen,182_final-HOMBURG_Timo_Ein_unscharfer_Suchalgorithmus_f_r_Transkriptio,182_final-HOMBURG_Timo_Ein_unscharfer_Suchalgorithmus_f_r_Transkriptio.pdf,182_final-HOMBURG_Timo_Ein_unscharfer_Suchalgorithmus_f_r_Transkriptio.xml
49,Maschinelles Lernen lernen: Ein CRETA-Hackatorial zur reflektierten automatischen Textanalyse,183_final-KREMER_Gerhard_Maschinelles_Lernen_lernen__Ein_CRETA_Hackato,183_final-KREMER_Gerhard_Maschinelles_Lernen_lernen__Ein_CRETA_Hackato.pdf,183_final-KREMER_Gerhard_Maschinelles_Lernen_lernen__Ein_CRETA_Hackato.xml
50,Technologienutzung im Kontext Digitaler Editionen – eine Landschaftsvermessung,184_final-NEUEFEIND_Claes_Technologienutzung_im_Kontext_Digitaler_Edit,184_final-NEUEFEIND_Claes_Technologienutzung_im_Kontext_Digitaler_Edit.pdf,184_final-NEUEFEIND_Claes_Technologienutzung_im_Kontext_Digitaler_Edit.xml
51,DHd 2019 Book of Abstracts Hackathon,185_final-ANDORFER_Peter_DHd_2019_Book_of_Abstracts_Hackathon,185_final-ANDORFER_Peter_DHd_2019_Book_of_Abstracts_Hackathon.pdf,185_final-ANDORFER_Peter_DHd_2019_Book_of_Abstracts_Hackathon.xml
