,title,title from pdf,title from xml,pdf file,xml file
0,Nachhaltige Entwicklung digitaler Ressourcen und Werkzeuge für wenig erforschte historische Sprachen,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Nachhaltige Entwicklungdigit,"
",conferences\DHd2017\pdf\panel-FEIGE.pdf,conferences\DHd2017\xml\panel-FEIGE.xml
1,"Virtuelle Forschungsplattformen im Vergleich: MONK, Textgrid, Transcribo und Transkribus",Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017VirtuelleForschungsplattform,"Virtuelle Forschungsplattformen im Vergleich: MONK, Textgrid, Transcribo und Transkribus",conferences\DHd2017\pdf\panel-HODEL.pdf,conferences\DHd2017\xml\panel-HODEL.xml
2,Das digitale Museum: ein nachhaltiger Partner der Digital Humanities?,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Das digitale Museum: einnach,Das digitale Museum: ein nachhaltiger Partner der Digital Humanities?,conferences\DHd2017\pdf\panel-HOHMA.pdf,conferences\DHd2017\xml\panel-HOHMA.xml
3,eValuation - Kriterien zur Evaluation digitaler Angebote und Forschungsinfrastrukturen,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017eValuation - Kriterienzur Ev,eValuation - Kriterien zur Evaluation digitaler Angebote und Forschungsinfrastrukturen,conferences\DHd2017\pdf\panel-KURMA.pdf,conferences\DHd2017\xml\panel-KURMA.xml
4,Virtuelle Forschungsumgebung für objekt- und raumbezogene Forschung,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017VirtuelleForschungsumgebung ,Virtuelle Forschungsumgebung für objekt- und raumbezogene Forschung,conferences\DHd2017\pdf\panel-KUROC.pdf,conferences\DHd2017\xml\panel-KUROC.xml
5,Zugänglichkeit und dauerhafte Nutzbarkeit historischer Bildrepositorien für Forschung und Vermittlung,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Zugänglichkeit unddauerhafte,Zugänglichkeit und dauerhafte Nutzbarkeit historischer Bildrepositorien für Forschung und Vermittlung,conferences\DHd2017\pdf\panel-NIEBL.pdf,conferences\DHd2017\xml\panel-NIEBL.xml
6,Hackathons als Zukunftslabor für die digitale Nachhaltigkeit,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Hackathons alsZukunftslabor ,Hackathons als Zukunftslabor für die digitale Nachhaltigkeit,conferences\DHd2017\pdf\panel-NOYER.pdf,conferences\DHd2017\xml\panel-NOYER.xml
7,Aktuelle Herausforderungen der Digitalen Dramenanalyse,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Aktuelle Herausforderungende,Aktuelle Herausforderungen der Digitalen Dramenanalyse,conferences\DHd2017\pdf\panel-REITE.pdf,conferences\DHd2017\xml\panel-REITE.xml
8,Citizen Science unter dem Blickwinkel nachhaltiger sozialer und technischer Infrastrukturen,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Citizen Science unter demBli, Citizen Science unter dem Blickwinkel nachhaltiger sozialer und technischer Infrastrukturen,conferences\DHd2017\pdf\panel-SELTM.pdf,conferences\DHd2017\xml\panel-SELTM.xml
9,Wenn Forschen ein nicht reproduzierbarer Prozess ist – Nachhaltigkeit als Herausforderung in der Archäologie,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Wenn Forschen ein nichtrepro,Wenn Forschen ein nicht reproduzierbarer Prozess ist – Nachhaltigkeit als Herausforderung in der Archäologie,conferences\DHd2017\pdf\plenary-FLESS.pdf,conferences\DHd2017\xml\plenary-FLESS.xml
