,title,title from pdf,title from xml,pdf file,xml file
10,Digitale Nachhaltigkeit: Mittel und/oder Zweck?,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Digitale Nachhaltigkeit:Mitt,Digitale Nachhaltigkeit: Mittel und/oder Zweck?,conferences\DHd2017\pdf\plenary-SEELE.pdf,conferences\DHd2017\xml\plenary-SEELE.xml
11,"Ein Bild sagt mehr als tausend Worte, aber sagen tausend Pixel mehr als ein Wort?",Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Ein Bild sagt mehr alstausen,"Ein Bild sagt mehr als tausend Worte, aber sagen tausend Pixel mehr als ein Wort?",conferences\DHd2017\pdf\plenary-SUESS.pdf,conferences\DHd2017\xml\plenary-SUESS.xml
12,Nachhaltigkeit durch Zusammenschluss: Die DARIAH Data Re-Use Charter,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Nachhaltigkeit durchZusammen,Nachhaltigkeit durch Zusammenschluss: Die DARIAH Data Re-Use Charter,conferences\DHd2017\pdf\poster-BAILL.pdf,conferences\DHd2017\xml\poster-BAILL.xml
13,Living Books about History,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Living Books about HistoryBa,Living Books about History,conferences\DHd2017\pdf\poster-BAUMA.pdf,conferences\DHd2017\xml\poster-BAUMA.xml
14,Digitale Nachhaltigkeit in den Geisteswissenschaften durch TOSCA: Nutzung eines standardbasierten Open-Source Ökosystems,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Digitale Nachhaltigkeit inde, Digitale Nachhaltigkeit in den Geisteswissenschaften durch TOSCA: Nutzung eines standardbasierten Open-Source Ökosystems ,conferences\DHd2017\pdf\poster-BREIT.pdf,conferences\DHd2017\xml\poster-BREIT.xml
15,„Soziale Datenkuratierung“: Nachhaltigkeit im Projekt. Illuminierte Urkunden als Gesamtkunstwerk,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017„Soziale Datenkuratierung“:N,„Soziale Datenkuratierung“: Nachhaltigkeit im Projekt ,conferences\DHd2017\pdf\poster-BUERG.pdf,conferences\DHd2017\xml\poster-BUERG.xml
16,Digitale Erschließung einer Sammlung von Volksliedern aus dem deutschsprachigen Raum,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Digitale Erschließung einerS,Digitale Erschließung einer Sammlung von Volksliedern aus dem deutschsprachigen Raum,conferences\DHd2017\pdf\poster-BURGH.pdf,conferences\DHd2017\xml\poster-BURGH.xml
17,PaLaFra – Entwicklung einer Annotationsumgebung für ein diachrones Korpus spätlateinischer und altfranzösischer Texte,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017PaLaFra – Entwicklungeiner A,PaLaFra – Entwicklung einer Annotationsumgebung für ein diachrones Korpus spätlateinischer und altfranzösischer Texte,conferences\DHd2017\pdf\poster-DOEHL.pdf,conferences\DHd2017\xml\poster-DOEHL.xml
18,Kriterienbasierte Evaluation und Dokumentation technischer Nachhaltigkeit von Forschungssoftware in einem Metadatenrepositorium,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Kriterienbasierte Evaluation,"
",conferences\DHd2017\pdf\poster-DRUSK.pdf,conferences\DHd2017\xml\poster-DRUSK.xml
19,Tool zur Normalisierung und Historisierung,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Tool zur Normalisierung undH,Tool zur Normalisierung und Historisierung,conferences\DHd2017\pdf\poster-EDERE.pdf,conferences\DHd2017\xml\poster-EDERE.xml
20,maus - eine WebApp zur einfachen Erstellung funktionaler Webdokumente,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017maus - eine WebAppzur einfac,maus - eine WebApp zur einfachen Erstellung funktionaler Webdokumente,conferences\DHd2017\pdf\poster-ENGEL.pdf,conferences\DHd2017\xml\poster-ENGEL.xml
21,Kompilation eines Diskursstruktur-annotierten deutschsprachigen Blogkorpus,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Kompilation einesDiskursstru,Kompilation eines Diskursstruktur-annotierten deutschsprachigen Blogkorpus,conferences\DHd2017\pdf\poster-GRUMT.pdf,conferences\DHd2017\xml\poster-GRUMT.xml
22,Digitale Werkzeuge und Infrastrukturen zur Analyse und Beschreibung von Bewegungen in vormodernen Wissensbeständen,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Digitale Werkzeugeund Infras,"
",conferences\DHd2017\pdf\poster-HEGEL.pdf,conferences\DHd2017\xml\poster-HEGEL.xml
23,UIMA als Plattform für die nachhaltige Software-Entwicklung in den Digital Humanities,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017UIMA als Plattform fürdie na,"
",conferences\DHd2017\pdf\poster-HELLR.pdf,conferences\DHd2017\xml\poster-HELLR.xml
24,"Twhistory mit autoChirp, Social Media Tools für die Geschichtsvermittlung",Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Twhistory mit autoChirpSocia,"
",conferences\DHd2017\pdf\poster-HERME.pdf,conferences\DHd2017\xml\poster-HERME.xml
25,Raum und Zeit in Comics: Die Wirkung von Zwischenräumen auf Aufmerksamkeit und empfundene Zeit beim Lesen graphischer Literatur,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Raum und Zeit inComics: Die ,Raum und Zeit in Comics: Die Wirkung von Zwischenräumen auf Aufmerksamkeit und empfundene Zeit beim Lesen graphischer Literatur,conferences\DHd2017\pdf\poster-HOHEN.pdf,conferences\DHd2017\xml\poster-HOHEN.xml
26,Grotefend digital,"Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Grotefend digitalVogeler, Ge","
",conferences\DHd2017\pdf\poster-KLUGH.pdf,conferences\DHd2017\xml\poster-KLUGH.xml
27,Nachhaltigkeitperspektiven von Graphdaten,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Nachhaltigkeitperspektivenvo,"
",conferences\DHd2017\pdf\poster-KUCZE.pdf,conferences\DHd2017\xml\poster-KUCZE.xml
28,Visuelle Elemente grafischer Literatur: Aufmerksamkeitszuwendung und objektive Beschreibung,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Visuelle Elementegrafischer ,Visuelle Elemente grafischer Literatur: Aufmerksamkeitszuwendung und objektive Beschreibung,conferences\DHd2017\pdf\poster-LAUBR.pdf,conferences\DHd2017\xml\poster-LAUBR.xml
29,APIS – Eine Linked Open Data basierte Datamining-Webapplikation für das Auswerten biographischer Daten,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017APIS – Eine Linked OpenData ,APIS – Eine Linked Open Data basierte Datamining-Webapplikation für das Auswerten biographischer Daten,conferences\DHd2017\pdf\poster-LEJTO.pdf,conferences\DHd2017\xml\poster-LEJTO.xml
30,Umfrage zu Forschungsdaten an der Philosophischen Fakultät der Universität zu Köln,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Umfrage zuForschungsdaten an,Umfrage zu Forschungsdaten an der Philosophischen Fakultät der Universität zu Köln,conferences\DHd2017\pdf\poster-MATHI.pdf,conferences\DHd2017\xml\poster-MATHI.xml
31,Zwei grundlegende Fragen der digitalen Nachhaltigkeit: Wie können wir die heterogenen Forschungsfragen und die Community bei der Verfügbarmachung von Forschungsdaten miteinbeziehen?,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Zwei grundlegendeFragen der ,Zwei grundlegende Fragen der digitalen Nachhaltigkeit: Wie können wir die heterogenen Forschungsfragen und die Community bei der Verfügbarmachung von Forschungsdaten miteinbeziehen?,conferences\DHd2017\pdf\poster-ODEBR.pdf,conferences\DHd2017\xml\poster-ODEBR.xml
32,Webbasierte Morphemannotation Diachroner Korpora: Ein Weg zu mehr Nachhaltigkeit?,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017WebbasierteMorphemannotation,"
",conferences\DHd2017\pdf\poster-PEUKE.pdf,conferences\DHd2017\xml\poster-PEUKE.xml
33,"Einfaches Topic Modeling in Python - Eine Programmbibliothek für Preprocessing, Modellierung und Analyse",Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Einfaches Topic Modelingin P,"
",conferences\DHd2017\pdf\poster-PIELS.pdf,conferences\DHd2017\xml\poster-PIELS.xml
34,Paraphrasenerkennung im Projekt Digital Plato,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Paraphrasenerkennung imProje,"
",conferences\DHd2017\pdf\poster-POECK.pdf,conferences\DHd2017\xml\poster-POECK.xml
35,Entitäten als Topic Labels: Verbesserung der Interpretierbarkeit und Evaluierbarkeit von Themen durch Kombinieren von Entity Linking und Topic Modeling,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Entitäten als TopicLabels: V,Entitäten als Topic Labels: Verbesserung der Interpretierbarkeit und Evaluierbarkeit von Themen durch Kombinieren von Entity Linking und Topic Modeling,conferences\DHd2017\pdf\poster-PONZE.pdf,conferences\DHd2017\xml\poster-PONZE.xml
36,Comparison of Methods for Automatic Relation Extraction in German Novels,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Comparison of Methodsfor Aut,Comparison of Methods for Automatic Relation Extraction in German Novels,conferences\DHd2017\pdf\poster-REGER.pdf,conferences\DHd2017\xml\poster-REGER.xml
37,Kollaborative Forschung über Linked Open Data Forschungsdatenbanken der Universitätsgeschichte. Implementierung des Heloise Common Research Model,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Kollaborative Forschungüber ,"
",conferences\DHd2017\pdf\poster-RIECH.pdf,conferences\DHd2017\xml\poster-RIECH.xml
38,Die Odyssee zum richtigen Standard - Herausforderungen einer konsistenten Datenmigration von Ulysses: A Critical and Synoptic Edition (1984),Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Die Odyssee zumrichtigen Sta,Die Odyssee zum richtigen Standard - Herausforderungen einer konsistenten Datenmigration von ,conferences\DHd2017\pdf\poster-SCHAE.pdf,conferences\DHd2017\xml\poster-SCHAE.xml
39,... warum nicht gleich Wikidata?!,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017... warum nicht gleichWikida,... warum nicht gleich Wikidata?!,conferences\DHd2017\pdf\poster-SCHEL.pdf,conferences\DHd2017\xml\poster-SCHEL.xml
40,„IT for all“ – Das Projekt „Digitaler Campus Bayern – Digitale Datenanalyse in den Geisteswissenschaften“ als Beispiel für nachhaltige IT-Didaktik,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017„IT for all“ – Das Projekt„D,„IT for all“ – Das Projekt „Digitaler Campus Bayern – Digitale Datenanalyse in den Geisteswissenschaften“ als Beispiel für nachhaltige IT-Didaktik,conferences\DHd2017\pdf\poster-SCHUJ.pdf,conferences\DHd2017\xml\poster-SCHUJ.xml
41,Maßnahmen zur digitalen Nachhaltigkeit in Langzeitprojekten – Das Beispiel Capitularia,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Maßnahmen zur digitalenNachh,Maßnahmen zur digitalen Nachhaltigkeit in Langzeitprojekten – Das Beispiel ,conferences\DHd2017\pdf\poster-SCHUL.pdf,conferences\DHd2017\xml\poster-SCHUL.xml
42,Where the words are: a visual interactive exploration of plants names,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Where the words are: avisual, Where the words are: a visual interactive exploration of plants names,conferences\DHd2017\pdf\poster-SELTM.pdf,conferences\DHd2017\xml\poster-SELTM.xml
43,relNet – Modellierung von Themen und Strukturen religiöser Online-Kommunikation,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017relNet – Modellierung vonThe,"
",conferences\DHd2017\pdf\poster-TABTI.pdf,conferences\DHd2017\xml\poster-TABTI.xml
44,"Zukünftiger Teil eines Fachinformationsdienstes: Eine Datenbank zur Fachgeschichte der deutschsprachigen Musikwissenschaft zwischen ca. 1810 und ca. 1990, projektiert am Max-Planck-Institut für empirische Ästhetik, Frankfurt am Main",Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Zukünftiger Teil einesFachin,Zukünftiger Teil eines Fachinformationsdienstes: Eine Datenbank zur ,conferences\DHd2017\pdf\poster-VANDY.pdf,conferences\DHd2017\xml\poster-VANDY.xml
45,Digitale Nachhaltigkeit bei Grundlagenforschung in Akademieprogramm: Das Beispiel „Johann Friedrich Blumenbach-online“,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Digitale Nachhaltigkeit beiG,Digitale Nachhaltigkeit bei Grundlagenforschung in Akademieprogramm: Das Beispiel „Johann Friedrich Blumenbach-online“,conferences\DHd2017\pdf\poster-WETTL.pdf,conferences\DHd2017\xml\poster-WETTL.xml
46,AGATE – European Academies Internet Gateway: Konzept für eine digitale Infrastruktur für die geistes- und sozialwissenschaftlichen Forschungsvorhaben der europäischen Wissenschaftsakademien,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017AGATE – EuropeanAcademies In,AGATE – European Academies Internet Gateway: Konzept für eine digitale Infrastruktur für die geistes- und sozialwissenschaftlichen Forschungsvorhaben der europäischen Wissenschaftsakademien,conferences\DHd2017\pdf\poster-WUTTK.pdf,conferences\DHd2017\xml\poster-WUTTK.xml
47,TEASys (Tübingen Explanatory Annotations System): Die erklärende Annotation literarischer Texte in den Digital Humanities,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017TEASys (TübingenExplanatory ,TEASys (Tübingen Explanatory Annotations System): Die erklärende Annotation literarischer Texte in den Digital Humanities,conferences\DHd2017\pdf\poster-ZIRKE.pdf,conferences\DHd2017\xml\poster-ZIRKE.xml
48,Digitale Modellierung literarischen Raums,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Digitale Modellierungliterar,Digitale Modellierung literarischen Raums,conferences\DHd2017\pdf\vortrag-BARTH.pdf,conferences\DHd2017\xml\vortrag-BARTH.xml
49,"Dokumentation, Werkzeugkasten, Pakete - Nachhaltigkeit von Daten und Funktionalität Digitaler Editionen","Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Dokumentation,Werkzeugkasten","Dokumentation, Werkzeugkasten, Pakete - Nachhaltigkeit von Daten und Funktionalität Digitaler Editionen",conferences\DHd2017\pdf\vortrag-CZMIE.pdf,conferences\DHd2017\xml\vortrag-CZMIE.xml
50,"Langzeitinterpretierbarkeit auf Basis des CIDOC-CRM in inter- und transdisziplinären Forschungsprojekten am Germanischen Nationalmuseum (GNM), Nürnberg",Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Hermann BurgersLokalbericht:,"
",conferences\DHd2017\pdf\vortrag-DAENG.pdf,conferences\DHd2017\xml\vortrag-DAENG.xml
51,Hermann Burgers Lokalbericht: Hybrid-Edition mit digitalem Schwerpunkt,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Semantische Suche inAusgesto,Semantische Suche in Ausgestorbenen Sprachen: Eine Fallstudie für das Hethitische,conferences\DHd2017\pdf\vortrag-DAXEN.pdf,conferences\DHd2017\xml\vortrag-DAXEN.xml
52,Semantische Suche in Ausgestorbenen Sprachen: Eine Fallstudie für das Hethitische,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Autorschaftsattributionbei n,Autorschaftsattribution bei nicht-normalisiertem Mittelhochdeutsch. Bessere Erkennungsquoten durch ein Normalisierungswörterbuch,conferences\DHd2017\pdf\vortrag-DIMPE.pdf,conferences\DHd2017\xml\vortrag-DIMPE.xml
53,Autorschaftsattribution bei nicht-normalisiertem Mittelhochdeutsch. Bessere Erkennungsquoten durch ein Normalisierungswörterbuch,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Von sammlungsspezifischenVis,"
",conferences\DHd2017\pdf\vortrag-DOERK.pdf,conferences\DHd2017\xml\vortrag-DOERK.xml
54,Von sammlungsspezifischen Visualisierungen zu nachnutzbaren Werkzeugen,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Ein PoS-Tagger für „das“Mitt,Ein PoS-Tagger für „das“ Mittelhochdeutsche,conferences\DHd2017\pdf\vortrag-ECHEL.pdf,conferences\DHd2017\xml\vortrag-ECHEL.xml
55,Ein PoS-Tagger für „das“ Mittelhochdeutsche,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Nachhaltige Erschließungumfa,Nachhaltige Erschließung umfangreicher handschriftlicher Überlieferungen. Ein Fallbeispiel,conferences\DHd2017\pdf\vortrag-FASSH.pdf,conferences\DHd2017\xml\vortrag-FASSH.xml
56,Nachhaltige Erschließung umfangreicher handschriftlicher Überlieferungen. Ein Fallbeispiel,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017„Der Helmut Kohl unterden Br,"
",conferences\DHd2017\pdf\vortrag-FISCH.pdf,conferences\DHd2017\xml\vortrag-FISCH.xml
57,„Der Helmut Kohl unter den Brotaufstrichen“. Zur Extraktion vossianischer Antonomasien aus großen Zeitungskorpora,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Datenvisualisierung alsAisth,Datenvisualisierung als Aisthesis,conferences\DHd2017\pdf\vortrag-GIUSE.pdf,conferences\DHd2017\xml\vortrag-GIUSE.xml
58,Datenvisualisierung als Aisthesis,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Niklas Luhmanns Werk-und Les,"
",conferences\DHd2017\pdf\vortrag-GOEDE.pdf,conferences\DHd2017\xml\vortrag-GOEDE.xml
59,Niklas Luhmanns Werk- und Lesekosmos - DH in der bibliographischen Dimension,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Langzeitinterpretierbarkeita,"Langzeitinterpretierbarkeit auf Basis des CIDOC-CRM in inter- und transdisziplinären Forschungsprojekten am Germanischen Nationalmuseum (GNM), Nürnberg",conferences\DHd2017\pdf\vortrag-GROSS.pdf,conferences\DHd2017\xml\vortrag-GROSS.xml
60,Nachhaltige Konzeptionsmethoden für Digital Humanities Projekte am Beispiel der Goethe-PROPYLÄEN,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017NachhaltigeKonzeptionsmethod,"
",conferences\DHd2017\pdf\vortrag-GRUEN.pdf,conferences\DHd2017\xml\vortrag-GRUEN.xml
61,Das „Was-bisher-geschah“ von KOLIMO. Ein Update zum Korpus der literarischen Moderne,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Das „Was-bisher-geschah“von ,Das „Was-bisher-geschah“ von KOLIMO. Ein Update zum Korpus der literarischen Moderne,conferences\DHd2017\pdf\vortrag-HERRM.pdf,conferences\DHd2017\xml\vortrag-HERRM.xml
62,"Archival Cultural Heritage Online: Eine Virtuelle Forschungsumgebung im Spannungsfeld von Open Access, Nachhaltigkeit und Datenschutz",Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Archival Cultural HeritageOn," Archival Cultural Heritage Online: Eine Virtuelle Forschungsumgebung im Spannungsfeld von Open Access, Nachhaltigkeit und Datenschutz",conferences\DHd2017\pdf\vortrag-LANGE.pdf,conferences\DHd2017\xml\vortrag-LANGE.xml
63,Datenmodellierung und -visualisierung mit Graphdatenbanken. Konzepte und Erfahrungen anlässlich des Relaunches der Bilddatenbank REALonline,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Datenmodellierungund -visual,Datenmodellierung und -visualisierung mit Graphdatenbanken. Konzepte und Erfahrungen anlässlich des Relaunches der Bilddatenbank REALonline,conferences\DHd2017\pdf\vortrag-MATSC.pdf,conferences\DHd2017\xml\vortrag-MATSC.xml
64,Digitale Transformationen. Zum Einfluss der Digitalisierung auf die musikwissenschaftliche Editionsarbeit,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Digitale Transformationen.Zu,Digitale Transformationen. Zum Einfluss der Digitalisierung auf die musikwissenschaftliche Editionsarbeit,conferences\DHd2017\pdf\vortrag-MEISE.pdf,conferences\DHd2017\xml\vortrag-MEISE.xml
65,Kontextbasierte Zitationsanalyse soziologischer Klassiker im Verlauf von 100 Jahren,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017KontextbasierteZitationsanal,Kontextbasierte Zitationsanalyse soziologischer Klassiker im Verlauf von 100 Jahren,conferences\DHd2017\pdf\vortrag-MESSE.pdf,conferences\DHd2017\xml\vortrag-MESSE.xml
66,Projekte und Aktivitäten im Kontext digitaler 3D-Rekonstruktion im deutschsprachigen Raum,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Projekte und Aktivitätenim K,Projekte und Aktivitäten im Kontext digitaler 3D-Rekonstruktion im deutschsprachigen Raum,conferences\DHd2017\pdf\vortrag-MUENS.pdf,conferences\DHd2017\xml\vortrag-MUENS.xml
67,"Bild, Beschreibung, (Meta)Text. Automatische inhaltliche Erschließung und Annotation kunsthistorischer Daten","Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Bild, Beschreibung,(Meta)Tex","
",conferences\DHd2017\pdf\vortrag-NEUEF.pdf,conferences\DHd2017\xml\vortrag-NEUEF.xml
68,The Colorized Dead: Computerunterstützte Analysen der Farblichkeit von Filmen in den Digital Humanities am Beispiel von Zombiefilmen,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017The Colorized Dead:Computeru,"
",conferences\DHd2017\pdf\vortrag-PAUSE.pdf,conferences\DHd2017\xml\vortrag-PAUSE.xml
69,Aufbau eines historisch-literarischen Metaphernkorpus für das Deutsche,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Aufbau eineshistorisch-liter,Aufbau eines historisch-literarischen Metaphernkorpus für das Deutsche,conferences\DHd2017\pdf\vortrag-PERNE.pdf,conferences\DHd2017\xml\vortrag-PERNE.xml
70,Analyzing Features for the Detection of Happy Endings in German Novels,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Analyzing Features for theDe,Analyzing Features for the Detection of Happy Endings in German Novels,conferences\DHd2017\pdf\vortrag-REGER.pdf,conferences\DHd2017\xml\vortrag-REGER.xml
71,Automatische Bild-Text-Analyse: Chancen für die Zeitschriftenforschung jenseits von reinen Textdaten,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Automatische Bild-Text-Analy,Automatische Bild-Text-Analyse: Chancen für die Zeitschriftenforschung jenseits von reinen Textdaten,conferences\DHd2017\pdf\vortrag-RISSL.pdf,conferences\DHd2017\xml\vortrag-RISSL.xml
72,Anybody out there? Der Begriff der Masse im Crowdsourcing,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Anybody out there? DerBegrif,"
",conferences\DHd2017\pdf\vortrag-SCHIL.pdf,conferences\DHd2017\xml\vortrag-SCHIL.xml
73,Wiederholende Forschung in den digitalen Geisteswissenschaften,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Wiederholende Forschungin de,"
",conferences\DHd2017\pdf\vortrag-SCHOE.pdf,conferences\DHd2017\xml\vortrag-SCHOE.xml
74,Nachhaltige Softwareentwicklung in den Digital Humanities. Konzepte und Methoden.,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017NachhaltigeSoftwareentwicklu,Nachhaltige Softwareentwicklung in den Digital Humanities. Konzepte und Methoden.,conferences\DHd2017\pdf\vortrag-SCHRA.pdf,conferences\DHd2017\xml\vortrag-SCHRA.xml
75,Nachhaltigkeit als Prozess: Zur konzeptionellen Funktion digitaler Technologien in der Nachhaltigkeitssicherung für historische Fotos im Projekt efoto-Hamburg,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 2017Nachhaltigkeit als Prozess:Z,Nachhaltigkeit als Prozess: Zur konzeptionellen Funktion digitaler Technologien in der Nachhaltigkeitssicherung für historische Fotos im Projekt efoto-Hamburg,conferences\DHd2017\pdf\vortrag-SCHUM.pdf,conferences\DHd2017\xml\vortrag-SCHUM.xml
76,3D-Metamodeling Christopher Polhem’s Laboratorium mechanicum 1696,Abstract zur Konferenz Digital Humanities im deutschsprachigen Raum 20173D-MetamodelingChristopher P,3D-Metamodeling Christopher Polhem’s ,conferences\DHd2017\pdf\vortrag-SNICK.pdf,conferences\DHd2017\xml\vortrag-SNICK.xml
