,title,title from pdf,title from xml,pdf file,xml file
72,Excerpta Constantiniana: vom Palimpsest zur Edition einer mittelalterlichen Enzyklopädie,,Excerpta Constantiniana: vom Palimpsest zur Edition einer mittelalterlichen Enzyklopädie,conferences\DHd2016_neu\pdf\posters-066.pdf,conferences\DHd2016_neu\xml\posters-066.xml
73,Digital Humanities und Linguistik: Herausforderungen und ihre Potenziale am Beispiel der Annotation multimodaler Daten,,Digital Humanities und Linguistik: Herausforderungen und ihre Potenziale am Beispiel der Annotation multimodaler Daten,conferences\DHd2016_neu\pdf\posters-067.pdf,conferences\DHd2016_neu\xml\posters-067.xml
74,Datenbank für Gesprochenes Deutsch (DGD),,Datenbank für Gesprochenes Deutsch (DGD),conferences\DHd2016_neu\pdf\posters-068.pdf,conferences\DHd2016_neu\xml\posters-068.xml
75,CFDB: eine paläographische Datenbank neu- und spätbabylonischer Keilschriftzeichen,,CFDB: eine paläographische Datenbank neu- und spätbabylonischer Keilschriftzeichen,conferences\DHd2016_neu\pdf\posters-069.pdf,conferences\DHd2016_neu\xml\posters-069.xml
76,"Visuelle Möglichkeiten der Textkollation anhand des Beispiels eines Vergleiches von Erich Kästners ""Fabian"" und ""Der Gang vor die Hunde""",,"Visuelle Möglichkeiten der Textkollation anhand des Beispiels eines Vergleiches von Erich Kästners ""Fabian"" und ""Der Gang vor die Hunde"" ",conferences\DHd2016_neu\pdf\posters-070.pdf,conferences\DHd2016_neu\xml\posters-070.xml
77,Das digitale Handbuch der Höfe und Residenzen im spätmittelalterlichen Reich. Eine suchoptimierte Präsentation von strukturierten und verlinkten XML-TEI Daten.,,Das digitale Handbuch der Höfe und Residenzen im spätmittelalterlichen Reich. Eine suchoptimierte Präsentation von strukturierten und verlinkten XML-TEI Daten.,conferences\DHd2016_neu\pdf\posters-071.pdf,conferences\DHd2016_neu\xml\posters-071.xml
78,Gegenwärtige dialektspezifische Daten und deren Anwendung in der Dialektometrie,,Gegenwärtige dialektspezifische Daten und deren Anwendung in der Dialektometrie,conferences\DHd2016_neu\pdf\posters-072.pdf,conferences\DHd2016_neu\xml\posters-072.xml
79,"Kollaboratives Schreiben gestern, heute und morgen: Nutzen und Grenzen eines Visualisierungs- und Analysemodels aus der digitalen Literaturforschung",,"Kollaboratives Schreiben gestern, heute und morgen: Nutzen und Grenzen eines Visualisierungs- und Analysemodels aus der digitalen Literaturforschung",conferences\DHd2016_neu\pdf\posters-073.pdf,conferences\DHd2016_neu\xml\posters-073.xml
80,Aufbau einer Korpusinfrastruktur für die Beobachtung des Schreibgebrauchs,,Aufbau einer Korpusinfrastruktur für die Beobachtung des Schreibgebrauchs,conferences\DHd2016_neu\pdf\posters-074.pdf,conferences\DHd2016_neu\xml\posters-074.xml
81,Automatische Typenbestimmung in historischen Drucken,,Automatische Typenbestimmung in historischen Drucken,conferences\DHd2016_neu\pdf\posters-075.pdf,conferences\DHd2016_neu\xml\posters-075.xml
82,Die Schule von Salamanca. Ansätze für vernetzte und visualisierbare Daten,, Die Schule von Salamanca. Ansätze für vernetzte und visualisierbare Daten ,conferences\DHd2016_neu\pdf\posters-076.pdf,conferences\DHd2016_neu\xml\posters-076.xml
83,Dramenwerkbank - Automatische Sprachverarbeitung zur Analyse von Figurenrede,,Dramenwerkbank - Automatische Sprachverarbeitung zur Analyse von Figurenrede,conferences\DHd2016_neu\pdf\posters-077.pdf,conferences\DHd2016_neu\xml\posters-077.xml
