,title,title from pdf,title from xml,pdf file,xml file
149,Ein Mehrebenen-Tagging-Modell für die Annotation altäthiopischer Texte,,Ein Mehrebenen-Tagging-Modell für die Annotation altäthiopischer Texte,conferences\DHd2016_neu\pdf\vortraege-061.pdf,conferences\DHd2016_neu\xml\vortraege-061.xml
150,Emosaic – Visualisierung von Emotionen in Texten durch Farbumwandlung zur Analyse und Exploration,,Emosaic – Visualisierung von Emotionen in Texten durch Farbumwandlung zur Analyse und Exploration,conferences\DHd2016_neu\pdf\vortraege-062.pdf,conferences\DHd2016_neu\xml\vortraege-062.xml
151,"Komponisten-Datenbanken / -Portale: Entwicklungsmöglich-keiten, Austauschformate und Vernetzungspotential",,"Komponisten-Datenbanken / -Portale: Entwicklungsmöglich-keiten, Austauschformate und Vernetzungspotential",conferences\DHd2016_neu\pdf\workshops-001.pdf,conferences\DHd2016_neu\xml\workshops-001.xml
152,Wissenschaftliches Bloggen bei de.hypotheses.org,,Wissenschaftliches Bloggen bei de.hypotheses.org,conferences\DHd2016_neu\pdf\workshops-002.pdf,conferences\DHd2016_neu\xml\workshops-002.xml
153,nodegoat Workshop: Einführung in die Nutzung einer multifunktionalen webbasierten Datenbankapplikation für Geisteswissenschaftler,,nodegoat Workshop: Einführung in die Nutzung einer multifunktionalen webbasierten Datenbankapplikation für Geisteswissenschaftler,conferences\DHd2016_neu\pdf\workshops-003.pdf,conferences\DHd2016_neu\xml\workshops-003.xml
154,Entwicklung und Nutzung interdisziplinärer Repositorien für historische textbasierte Korpora,,Entwicklung und Nutzung interdisziplinärer Repositorien für historische textbasierte Korpora ,conferences\DHd2016_neu\pdf\workshops-004.pdf,conferences\DHd2016_neu\xml\workshops-004.xml
155,CATMA - Eine Plattform zum kollaborativen und automatisierten Annotieren und Analysieren von Texten,,CATMA - Eine Plattform zum kollaborativen und automatisierten Annotieren und Analysieren von Texten,conferences\DHd2016_neu\pdf\workshops-005.pdf,conferences\DHd2016_neu\xml\workshops-005.xml
156,Crossmediales Publizieren mit TUSTEP – ein Workshop der International TUSTEP User Group,,Crossmediales Publizieren mit TUSTEP – ein Workshop der International TUSTEP User Group,conferences\DHd2016_neu\pdf\workshops-006.pdf,conferences\DHd2016_neu\xml\workshops-006.xml
157,Visualisierungs-methoden und -instrumente für historische Quellenkorpora,,Visualisierungs-methoden und -instrumente für historische Quellenkorpora,conferences\DHd2016_neu\pdf\workshops-007.pdf,conferences\DHd2016_neu\xml\workshops-007.xml
158,Es geht auch ohne Formeln – der Einsatz von TeX in den Digital Humanities am Beispiel kritischer Editionen,,Es geht auch ohne Formeln – der Einsatz von TeX in den Digital Humanities am Beispiel kritischer Editionen,conferences\DHd2016_neu\pdf\workshops-008.pdf,conferences\DHd2016_neu\xml\workshops-008.xml
159,TextGrid und DARIAH-DE: Forschungsumgebung und Infrastruktur für die Geisteswissenschaften,,TextGrid und DARIAH-DE: Forschungsumgebung und Infrastruktur für die Geisteswissenschaften,conferences\DHd2016_neu\pdf\workshops-009.pdf,conferences\DHd2016_neu\xml\workshops-009.xml
